month,channel,spend,revenue,orders,roas,cac,reach
2025-01,Meta,8609,16358,115,1.9,74.9,264600
2025-01,Google,4828,7725,54,1.6,89.4,49000
2025-01,TikTok,1410,4090,29,2.9,48.6,176400
2025-01,Email,0,3635,26,,,19600
2025-01,Organic Social,0,5907,42,,,392000
2025-01,Direct,0,5453,38,,,49000
2025-01,Retail Support,0,2272,16,,,29400
2025-02,Meta,9527,19054,131,2.0,72.7,283500
2025-02,Google,5453,8997,62,1.65,88.0,52500
2025-02,TikTok,1764,4763,33,2.7,53.5,189000
2025-02,Email,0,4234,29,,,21000
2025-02,Organic Social,0,6880,47,,,420000
2025-02,Direct,0,6351,44,,,52500
2025-02,Retail Support,0,2646,18,,,31500
2025-03,Meta,10910,22910,155,2.1,70.4,318600
2025-03,Google,6364,10819,73,1.7,87.2,59000
2025-03,TikTok,2291,5728,39,2.5,58.7,212400
2025-03,Email,0,5091,34,,,23600
2025-03,Organic Social,0,8273,56,,,472000
2025-03,Direct,0,7637,52,,,59000
2025-03,Retail Support,0,3182,22,,,35400
2025-04,Meta,12478,27452,182,2.2,68.6,351000
2025-04,Google,7625,12963,86,1.7,88.7,65000
2025-04,TikTok,2860,6863,45,2.4,63.6,234000
2025-04,Email,0,6100,40,,,26000
2025-04,Organic Social,0,9913,66,,,520000
2025-04,Direct,0,9151,61,,,65000
2025-04,Retail Support,0,3813,25,,,39000
2025-05,Meta,14945,34373,223,2.3,67.0,383400
2025-05,Google,9275,16232,105,1.75,88.3,71000
2025-05,TikTok,3906,8593,56,2.2,69.8,255600
2025-05,Email,0,7638,50,,,28400
2025-05,Organic Social,0,12412,81,,,568000
2025-05,Direct,0,11458,74,,,71000
2025-05,Retail Support,0,4774,31,,,42600
2025-06,Meta,18012,43229,274,2.4,65.7,421200
2025-06,Google,11341,20414,129,1.8,87.9,78000
2025-06,TikTok,5146,10807,68,2.1,75.7,280800
2025-06,Email,0,9606,61,,,31200
2025-06,Organic Social,0,15610,99,,,624000
2025-06,Direct,0,14410,91,,,78000
2025-06,Retail Support,0,6004,38,,,46800
