month,segment,customers,revenue,avg_orders
2025-01,New,205,28596,1.0
2025-01,Returning,115,16844,1.9
2025-01,VIP,0,0,3.2
2025-02,New,220,31279,1.0
2025-02,Returning,145,21646,1.9
2025-02,VIP,0,0,3.2
2025-03,New,250,36057,1.0
2025-03,Returning,171,25896,1.9
2025-03,VIP,9,1687,3.2
2025-04,New,275,40366,1.0
2025-04,Returning,218,33599,1.9
2025-04,VIP,12,2290,3.2
2025-05,New,320,47833,1.0
2025-05,Returning,285,44732,1.9
2025-05,VIP,15,2915,3.2
2025-06,New,360,55069,1.0
2025-06,Returning,380,61034,1.9
2025-06,VIP,20,3977,3.2
