month,product,units_sold,revenue,pct_of_revenue
2025-01,Healthy Bread Bundle,70,9997,22.0
2025-01,High Protein Bread,38,5453,12.0
2025-01,High Fiber Bread,45,6362,14.0
2025-01,Whole Wheat Bread,42,5907,13.0
2025-01,Oats Bread,35,4998,11.0
2025-01,Burger Buns,32,4544,10.0
2025-01,Toast Loaf,29,4090,9.0
2025-01,Samoon,29,4090,9.0
2025-02,Healthy Bread Bundle,76,11008,20.8
2025-02,High Protein Bread,51,7410,14.0
2025-02,High Fiber Bread,50,7304,13.8
2025-02,Whole Wheat Bread,47,6774,12.8
2025-02,Oats Bread,41,5928,11.2
2025-02,Burger Buns,36,5187,9.8
2025-02,Toast Loaf,32,4657,8.8
2025-02,Samoon,32,4657,8.8
2025-03,Healthy Bread Bundle,84,12473,19.6
2025-03,High Protein Bread,69,10182,16.0
2025-03,High Fiber Bread,58,8655,13.6
2025-03,Whole Wheat Bread,54,8019,12.6
2025-03,Oats Bread,49,7255,11.4
2025-03,Burger Buns,41,6109,9.6
2025-03,Toast Loaf,37,5473,8.6
2025-03,Samoon,37,5473,8.6
2025-04,Healthy Bread Bundle,93,14031,18.4
2025-04,High Protein Bread,91,13726,18.0
2025-04,High Fiber Bread,68,10218,13.4
2025-04,Whole Wheat Bread,63,9456,12.4
2025-04,Oats Bread,59,8846,11.6
2025-04,Burger Buns,47,7168,9.4
2025-04,Toast Loaf,42,6405,8.4
2025-04,Samoon,42,6405,8.4
2025-05,Healthy Bread Bundle,107,16423,17.2
2025-05,High Protein Bread,124,19096,20.0
2025-05,High Fiber Bread,82,12603,13.2
2025-05,Whole Wheat Bread,76,11649,12.2
2025-05,Oats Bread,73,11267,11.8
2025-05,Burger Buns,57,8784,9.2
2025-05,Toast Loaf,51,7829,8.2
2025-05,Samoon,51,7829,8.2
2025-06,Healthy Bread Bundle,122,19213,16.0
2025-06,High Protein Bread,167,26418,22.0
2025-06,High Fiber Bread,99,15610,13.0
2025-06,Whole Wheat Bread,91,14410,12.0
2025-06,Oats Bread,91,14410,12.0
2025-06,Burger Buns,68,10807,9.0
2025-06,Toast Loaf,61,9606,8.0
2025-06,Samoon,61,9606,8.0
